buying_B900 - Residential buildings
buying_B901 - Industrial buildings
buying_B902 - Office buildings
buying_B903 - Shopping centers
buying_B904 - Other commercial buildings
buying_B905 - Schools universities
buying_B906 - Health care buildings
buying_B907 - Other institutional buildings
buying_B908 - Highways roads
buying_B909 - Other transportation construction
buying_B910 - Production facilities in oil and gas extraction
buying_B911 - Other oil and gas engineering construction
buying_B912 - Electric power engineering construction
buying_B913 - Communication engineering construction
buying_B914 - Marine engineering construction
buying_B915 - Waterworks engineering construction
buying_B916 - Sewage engineering construction
buying_B917 - Mining engineering construction
buying_B918 - Other engineering construction
buying_C011 - Bovine
buying_C012 - Swine
buying_C013 - Poultry
buying_C015 - Other Live Animals
buying_C021 - Wheat
buying_C022 - Grains
buying_C031 - Potatoes
buying_C032 - Vegetables
buying_C033 - Fruits and Nuts
buying_C035 - Oilseeds
buying_C036 - Floriculture
buying_C041 - Eggs
buying_C042 - Raw Hides Silk
buying_C043 - Pet food
buying_C044 - Other Animal Feed
buying_C048 - Fruit and Vegetables Processed
buying_C049 - Other Crop Products
buying_C051 - Frozen Meat
buying_C052 - Frozen Poultry
buying_C053 - Fish
buying_C054 - Processed Meat
buying_C055 - Seafood
buying_C061 - Flour
buying_C062 - Margarine and Cooking Oils
buying_C063 - Other Grain and Oilseed Products
buying_C064 - Baked Products
buying_C065 - Snack Foods
buying_C066 - Other Food Products
buying_C071 - Milk and Milk Products
buying_C073 - Cheese
buying_C074 - Ice Cream
buying_C075 - Coffee and Tea
buying_C076 - Water and Soft Drinks
buying_C078 - Sugar
buying_C081 - Beer
buying_C082 - Wine
buying_C083 - Distilled Liquor
buying_C101 - Stone
buying_C102 - Sand Gravel
buying_C103 - NonMetallic Minerals
buying_C105 - Other Metal Ores
buying_C106 - Bauxite and Aluminum Oxide
buying_C107 - Basic Inorganic Chemicals
buying_C108 - Industrial Gases
buying_C111 - Coal
buying_C112 - Conventional and Synthetic Crude Oil and Bitumen
buying_C119 - Electricity
buying_C121 - Gasoline
buying_C122 - Fuel Oils Diesel Biodiesel
buying_C123 - Jet Fuel
buying_C124 - Petrochemicals
buying_C131 - Natural Gas
buying_C132 - Natural Gas Liquids
buying_C135 - Coke
buying_C137 - Asphalt
buying_C141 - Dyes and Pigments
buying_C143 - Earth metals
buying_C151 - Potash
buying_C152 - Ammonia and Chemical Fertilizer
buying_C167 - Basic Organic Chemicals
buying_C231 - Logs Pulpwood
buying_C232 - Logs Lumber
buying_C233 - Fuel Wood
buying_C235 - Wood Untreated
buying_C236 - Wood Chips
buying_C241 - Lumber
buying_C242 - Wood Products Treated
buying_C243 - Wood Window Door
buying_C244 - Wood Products Millwork
buying_C245 - Plywood
buying_C246 - Wood Products Reconstituted
buying_C247 - Wood Crates and Pallets
buying_C248 - Other Engineered Wood Products
buying_C251 - Wood Pulp
buying_C252 - Newsprint
buying_C253 - Paper
buying_C254 - Paperboard
buying_C275 - Fibre Yarn Thread
buying_C281 - Cement
buying_D01 - Agriculture and Forestry Office Actions
buying_D02 - Oil and Gas Office Actions
buying_D03 - Mining and Extraction Office Actions
buying_D04 - Utilities Office Actions
buying_D05 - Construction Office Actions
buying_D06 - Food Manufacturing Office Actions
buying_D07 - Fabrics and Paper Office Actions
buying_D08 - Energy Manufacturing Office Actions
buying_D09 - Chemical Manufacturing Office Actions
buying_D10 - Machinery and Equipment Manufacturing Office Actions
buying_D11 - Wholesale Office Actions
buying_D12 - Retail Office Actions
buying_D13 - Transportation Office Actions
buying_D14 - Pipeline Office Actions
buying_D15 - Entertainment Office Actions
buying_D16 - Information and Publishing Office Actions
buying_D17 - Facilities Management Office Actions
buying_E313 - Metal Doors Windows
buying_E314 - Metal Springs
buying_E315 - Hardware
buying_E316 - Metal Containers Less300L
buying_E317 - Metal Containers More300L
buying_E318 - Ball and Roller Bearings
buying_E321 - Turbines
buying_E322 - Power Generation
buying_E331 - Metal Hand Tools
