ZoneNumber,xCoordinate,yCoordinate,ZoneName,External
101,310088.5674,5549454.338,Medicine Hat Flats Area,FALSE
102,310402.6475,5546070.048,Meadowlands Area,FALSE
103,304837.6559,5548611.55,Tower Estates Area,FALSE
104,307592.3706,5553857.447,Division Area,FALSE
105,301688.7307,5553166.603,Redcliff Town,FALSE
106,316504.3403,5546880.365,Cypress Without,FALSE
107,260676.0075,5528691.826,Bow Island Town,FALSE
108,277965.4788,5485812.047,Forty Mile Without,FALSE
201,156605.3647,5505053.039,Lethbridge Inner,FALSE
202,155980.1468,5506002.507,Buchanan Area,FALSE
203,156277.5206,5509042.864,Peenaquim Area,FALSE
204,159187.3538,5508026.861,Shackleford Sherring Area,FALSE
205,156632.0975,5504013.451,Henderson Lake Area,FALSE
206,159086.1237,5501510.478,Rollag Area,FALSE
207,152713.614,5500122.825,Shern Lake Area,FALSE
208,151494.7914,5504643.966,Lenzie Area,FALSE
209,149136.3551,5510245.293,Coalhurst Town,FALSE
210,171582.0218,5508541.554,Coaldale Town,FALSE
211,159252.3803,5524759.039,Picture Butte Town,FALSE
212,160677.5691,5522204.979,Lethbridge Without,FALSE
213,205318.8712,5517654.799,Taber Town,FALSE
214,206825.1687,5548164.291,Vauxhall Town,FALSE
215,210504.3463,5532361.681,Taber Without,FALSE
216,220034.9961,5604226.499,Brooks Inner,FALSE
217,219992.0768,5603767.108,Brooks Outer,FALSE
218,178345.4236,5627068.007,Bassano Town,FALSE
219,198191.433,5628532.877,Crawling Valley Area,FALSE
220,234034.0861,5590653.989,Lake Newell Area,FALSE
221,169736.3522,5479293.326,Raymond Town,FALSE
222,212484.8416,5446539.564,Milk River Town,FALSE
223,222034.8671,5430040.421,Coutts Village,FALSE
224,210024.925,5459305.648,Warner Without,FALSE
301,115263.4306,5506572.67,Fort Macleod Town,FALSE
302,107035.5436,5522996.209,Granum Town,FALSE
303,101187.7569,5539876.045,Claresholm Town,FALSE
304,97164.66962,5555291.055,Stavely Town,FALSE
305,87063.92813,5575772.529,Nanton Town,FALSE
306,97964.82782,5535315.846,Willow Creek Without,FALSE
307,76544.13277,5480377.972,Pincher Creek Town,FALSE
308,65907.32492,5477111.637,Pincher Creek Without,FALSE
309,123062.2897,5448036.088,Cardston Town,FALSE
310,154659.4435,5473704.8,Magrath Town,FALSE
311,139031.0252,5448507.551,Cardston Without,FALSE
312,77873.25583,5434882.394,Waterton Park,FALSE
401,334644.2095,5669433.99,Acadia,FALSE
402,314279.3505,5695738.13,Oyen Town,FALSE
403,212552.4186,5723509.877,Hanna Town,FALSE
404,273453.8009,5704167.074,Special Areas Without,FALSE
501,156350.2839,5701839.734,Drumheller Town,FALSE
502,166601.902,5694884.15,Drumheller Valley,FALSE
503,169175.5593,5725853.952,Starland County,FALSE
504,121980.3109,5741002.656,Trochu Town,FALSE
505,119663.0506,5727023.852,Three Hills Town,FALSE
506,120094.4419,5722861.416,Kneehill Without,FALSE
507,103374.3396,5654437.85,Cheadle Area,FALSE
508,109104.934,5640000.744,Carseland Area,FALSE
509,119323.7628,5654908.628,Eagle Lake Area,FALSE
510,112345.2854,5654138.882,Strathmore Town,FALSE
511,106112.4611,5664003.986,Bruce Lake Area,FALSE
512,127956.6447,5676780.597,Rockyford Area,FALSE
513,163737.9939,5663312.865,Hussar Area,FALSE
514,135893.6403,5647522.572,Gleichen Area,FALSE
515,122980.1881,5582474.128,Vulcan Town,FALSE
516,144129.1901,5587070.412,Vulcan Without,FALSE
601,60871.85855,5735833.609,Olds Town,FALSE
602,24633.86126,5736776.922,Sundre Town,FALSE
603,59591.33006,5721193.85,Didsbury Town,FALSE
604,62695.74844,5710263.703,Carstairs Town,FALSE
605,36124.51541,5708073.491,Cremona Village,FALSE
606,50719.06209,5724337.978,Mountain View Without,FALSE
607,69844.87492,5680224.958,Airdrie Inner,FALSE
608,72222.16934,5681410.212,East Lake,FALSE
609,72076.91028,5677190.05,Kingsview,FALSE
610,67179.67902,5676483.02,Coopers Crossing,FALSE
611,66744.5031,5681515.985,Woodside,FALSE
612,61626.84572,5681565.626,Fortna,FALSE
613,72741.20507,5686583.315,Croxford,FALSE
614,67072.04092,5695377.797,Crossfield Town,FALSE
615,72158.96198,5692754.297,Kersey,FALSE
616,97358.57252,5684445.962,Irricana Town,FALSE
617,98521.8505,5687828.744,Beiseker Area,FALSE
618,94010.76462,5670191.072,Keoma Area,FALSE
619,90557.29994,5653253.593,Norfolk Area,FALSE
620,91872.72595,5644028.803,Langdon Area,FALSE
621,90252.19562,5633338.521,Dalemead Area,FALSE
622,83564.22941,5640363.688,Indus Area,FALSE
623,83098.52508,5646075.479,Bennett Area,FALSE
624,77785.83338,5643169.627,Shepard Area,FALSE
625,78126.42854,5647956.081,Janet Area,FALSE
626,82404.14937,5651923.594,Chestermere City,FALSE
627,83042.41713,5656836.061,McElroy Area,FALSE
628,77846.9403,5656832.082,Conrich Area,FALSE
629,80993.65194,5662122.589,Delacour Area,FALSE
630,80471.66374,5672024.048,Benaman Slough Area,FALSE
631,73083.57542,5672186.754,MacDonald Lake,FALSE
